beneficiario,EJERCICIO,programa,componente,unidad_administrativa,cve_entidad,entidad,monto_federal_aportado,tipo_cobertura,nom_abr,rnpa,unidadeconmica,tipo_ue,tipopersona_ue,representantelegal_ue,tipoempresa_ue,estado_ue,cve_ent_ue,municipio,cve_mun,localidad_ue,cve_loc,cve_inegi,ambito_ue,latitud_ue,longitud_ue,altitud_ue,lat_dec_ue,lon_dec_ue,iniciooper,fechaderegistroactualizacion_ue,RNPA_disponible,zona,clasificacion_cn
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE ALTAMAR PUERTO DE TOPOLOBAMPO FCL,2008,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,1530360,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE ALTAMAR PUERTO DE TOPOLOBAMPO FCL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,1706965.37,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE BIENES Y SERVICIOS PESCADORES UNIDOS DE LA LAGUNA TAMIAHUA TAMPAMACHOCO SC DE RL DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,457200,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE BIENES Y SERVICIOS PESCADORES UNIDOS DE LA LAGUNA TAMIAHUA TAMPAMACHOCO SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,1202448,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE BIENES Y SERVICIOS PESCADORES UNIDOS DE LA LAGUNA TAMIAHUA TAMPAMACHOCO SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,799800,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE BIENES Y SERVICIOS PESCADORES UNIDOS DE LA LAGUNA TAMIAHUA TAMPAMACHOCO SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,1253772,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE BIENES Y SERVICIOS PESCADORES UNIDOS DE LA LAGUNA TAMIAHUA TAMPAMACHOCO SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,945152,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE BIENES Y SERVICIOS PESCADORES UNIDOS DE LA LAGUNA TAMIAHUA TAMPAMACHOCO SC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,797580,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE BIENES Y SERVICIOS PESCADORES UNIDOS DE LA LAGUNA TAMIAHUA TAMPAMACHOCO SC DE RL DE CV,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,254600,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,1192620,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,3,BAJA CALIFORNIA SUR,1349250,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,1354440,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,3,BAJA CALIFORNIA SUR,1486800,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,3,BAJA CALIFORNIA SUR,1000671,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,1349805.6,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,1276245.6,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,1348800,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,3,BAJA CALIFORNIA SUR,1176000,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CIUDAD Y PUERTO DE MAZATLAN SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,1055280,ESTATAL,SIN,2508016751,FED REG DE SC IND PESQ DE LA CIUDAD Y PUERTO DE MAZ SC DE RL,CAPTURA,MORAL,CARLOS ALEJANDRO ROJAS LOPEZ,COOPERATIVA,SINALOA,25,MAZATLAN,12,MAZATLAN,1,250120001,U,231201.137,1062519.997,10,23.200316,-106.422221,4/4/1958,21/08/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CIUDAD Y PUERTO DE MAZATLAN SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,812280,ESTATAL,SIN,2508016751,FED REG DE SC IND PESQ DE LA CIUDAD Y PUERTO DE MAZ SC DE RL,CAPTURA,MORAL,CARLOS ALEJANDRO ROJAS LOPEZ,COOPERATIVA,SINALOA,25,MAZATLAN,12,MAZATLAN,1,250120001,U,231201.137,1062519.997,10,23.200316,-106.422221,4/4/1958,21/08/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CIUDAD Y PUERTO DE MAZATLAN SC DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,1128652,ESTATAL,SIN,2508016751,FED REG DE SC IND PESQ DE LA CIUDAD Y PUERTO DE MAZ SC DE RL,CAPTURA,MORAL,CARLOS ALEJANDRO ROJAS LOPEZ,COOPERATIVA,SINALOA,25,MAZATLAN,12,MAZATLAN,1,250120001,U,231201.137,1062519.997,10,23.200316,-106.422221,4/4/1958,21/08/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CIUDAD Y PUERTO DE MAZATLAN SC DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,1090179.2,ESTATAL,SIN,2508016751,FED REG DE SC IND PESQ DE LA CIUDAD Y PUERTO DE MAZ SC DE RL,CAPTURA,MORAL,CARLOS ALEJANDRO ROJAS LOPEZ,COOPERATIVA,SINALOA,25,MAZATLAN,12,MAZATLAN,1,250120001,U,231201.137,1062519.997,10,23.200316,-106.422221,4/4/1958,21/08/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL CENTRO DE SINALOA FC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,374080,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL CENTRO DE SINALOA FC DE RL DE CV,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,273840,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL CENTRO DE SINALOA FC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,365460,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL CENTRO Y PONIENTE DE YUCATAN SC DE RL,2008,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,31,YUCATAN,144100,ESTATAL,YUC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE CHIAPAS F DE RL DE CV,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,7,CHIAPAS,176904,ESTATAL,CHIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE CHIAPAS F DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,7,CHIAPAS,200175,ESTATAL,CHIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE JALISCO SCL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,14,JALISCO,491925,ESTATAL,JAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE QUINTANA ROO SC DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,23,QUINTANA ROO,418430,ESTATAL,QR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE QUINTANA ROO SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,23,QUINTANA ROO,859176,ESTATAL,QR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE QUINTANA ROO SC DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,23,QUINTANA ROO,750500,ESTATAL,QR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE QUINTANA ROO SC DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,23,QUINTANA ROO,529848,ESTATAL,QR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE QUINTANA ROO SC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,23,QUINTANA ROO,635160,ESTATAL,QR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE QUINTANA ROO SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,23,QUINTANA ROO,145008,ESTATAL,QR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,26,SONORA,1141560,ESTATAL,SON,2604613246,FED REG DE SC DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,CAPTURA,MORAL,JOSE DE JESUS PRESICHE OLACHEA,UNIÓN DE PESCADORES,SONORA,26,GUAYMAS,29,HEROICA GUAYMAS,1,260290001,U,275523.951,1105321.181,3,27.92332,-110.889217,6/10/1995,16/08/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,1227600,ESTATAL,SON,2604613246,FED REG DE SC DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,CAPTURA,MORAL,JOSE DE JESUS PRESICHE OLACHEA,UNIÓN DE PESCADORES,SONORA,26,GUAYMAS,29,HEROICA GUAYMAS,1,260290001,U,275523.951,1105321.181,3,27.92332,-110.889217,6/10/1995,16/08/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,631296,ESTATAL,SON,2604613246,FED REG DE SC DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,CAPTURA,MORAL,JOSE DE JESUS PRESICHE OLACHEA,UNIÓN DE PESCADORES,SONORA,26,GUAYMAS,29,HEROICA GUAYMAS,1,260290001,U,275523.951,1105321.181,3,27.92332,-110.889217,6/10/1995,16/08/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,1501350,ESTATAL,SON,2604613246,FED REG DE SC DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,CAPTURA,MORAL,JOSE DE JESUS PRESICHE OLACHEA,UNIÓN DE PESCADORES,SONORA,26,GUAYMAS,29,HEROICA GUAYMAS,1,260290001,U,275523.951,1105321.181,3,27.92332,-110.889217,6/10/1995,16/08/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,300840,ESTATAL,SON,2604613246,FED REG DE SC DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,CAPTURA,MORAL,JOSE DE JESUS PRESICHE OLACHEA,UNIÓN DE PESCADORES,SONORA,26,GUAYMAS,29,HEROICA GUAYMAS,1,260290001,U,275523.951,1105321.181,3,27.92332,-110.889217,6/10/1995,16/08/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA NORTE DE SINALOA SUR DE SONORA SC DE RL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,583213.6,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA NORTE DE SINALOA SUR DE SONORA SC DE RL,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,822720,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA NORTE DE SINALOA SUR DE SONORA SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,495725,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA NORTE DE SINALOA SUR DE SONORA SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,273840,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA NORTE DE SINALOA SUR DE SONORA SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,526120,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA NORTE DE SINALOA SUR DE SONORA SC DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,730920,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA NORTE DE SINALOA SUR DE SONORA SC DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,496964.5,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
